,Регион отбытия,Регион прибытия,Год,Всего мигрантов в возрасте 14 лет и более,Военно-служащие,Руководители,"Специалисты высшего уровня квалификации, всего",Специалисты ВУК в области науки и техники,Специалисты ВУК в области здраво-охранения,Специалисты ВУК в области образования,Специалисты ВУК в сфере бизнеса и администрирования,Специалисты ВУК по инфор-мационно-коммуникационным технологиям (ИКТ),"Специалисты ВУК в области права, гуманитарных областей и культуры",Специалисты среднего уровня квалификации всего,В области науки и техники,Средний медицинский персонал здравоохранения,Специалисты (ср.квал) по экономической и административной деятельности,"Специалитсы (ср. квал) в области правовой, социальной работы, культуры, спорта и родственных занятий",Специалитсы (ср. квал) в области информационно-коммуникационным технологиям (ИКТ),"Служащие, занятые подготовкой и оформлением документации, учетом и обслуживанием, всего",Служащие общего профиля и обслуживающие офисную технику,Служащие сферы обслуживания населения,Служащие в сфере обработки числовой информации и учета материальных ценностей,"Работники сферы обслуживания и торговли, охраны граждан и собственности","Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства","Квалифицированные рабочие промышленности, строительства, транспорта и рабочие родственных занятий","Операторы производственных установок и машин, сборщики и водители",Неквалифицированные рабочие,Не указано
184,Камчатский край,Брянская область,2019,39,0,0,2,0,0,0,1,0,0,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,16
185,Приморский край,Брянская область,2019,55,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
186,Хабаровский край,Брянская область,2019,40,2,0,2,0,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,1,0,2,0,0,19
187,Амурская область,Брянская область,2019,32,2,0,3,1,0,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,3,0,2,15
188,Магаданская область,Брянская область,2019,16,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,1,1,1,0,0,7
189,Сахалинская область,Брянская область,2019,30,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15
190,Еврейская автономная область,Брянская область,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
191,Чукотский авт.округ,Брянская область,2019,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
192,Российская Федерация,Владимирская область,2019,26610,288,183,1651,105,182,315,237,50,99,1654,89,214,171,195,65,872,67,371,45,1242,175,1141,264,310,8729
193,Центральный федеральный округ,Владимирская область,2019,21002,160,152,1286,79,119,254,181,40,80,1300,74,172,133,153,49,637,49,276,35,957,138,869,208,203,6603
194,Белгородская область,Владимирская область,2019,48,2,0,2,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,1,4,21
195,Брянская область,Владимирская область,2019,79,4,0,4,0,0,1,2,0,0,6,0,0,3,0,0,1,0,0,0,8,0,4,1,0,39
196,Владимирская область,Владимирская область,2019,12385,74,113,889,45,61,185,115,26,58,945,58,124,82,110,30,464,40,193,25,699,110,631,151,130,4443
197,Воронежская область,Владимирская область,2019,114,4,0,10,2,2,1,3,0,0,11,0,1,2,0,1,2,0,0,0,3,1,3,1,4,44
198,Ивановская область,Владимирская область,2019,871,7,3,61,3,10,13,7,1,4,44,3,11,1,6,1,15,0,8,0,29,4,17,5,9,285
199,Калужская область,Владимирская область,2019,103,2,0,8,0,0,2,1,1,0,2,0,2,0,0,0,7,0,4,0,3,0,2,0,1,34
200,Костромская область,Владимирская область,2019,113,3,1,8,0,0,3,0,0,0,8,0,2,0,2,1,5,1,4,0,9,2,5,1,2,46
201,Курская область,Владимирская область,2019,71,6,0,4,0,0,0,0,0,0,4,0,2,0,0,0,2,0,1,0,4,2,4,1,2,19
202,Липецкая область,Владимирская область,2019,72,2,0,3,0,0,1,0,0,0,6,0,1,1,0,1,0,0,0,0,2,1,9,2,0,32
203,Московская область,Владимирская область,2019,2801,28,20,136,22,14,20,24,6,7,129,8,15,25,18,5,60,5,21,3,92,12,94,15,31,687
204,Орловская область,Владимирская область,2019,26,0,0,3,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,3,0,0,12
205,Рязанская область,Владимирская область,2019,218,5,1,9,0,1,0,0,0,3,11,2,1,0,2,0,5,0,2,0,12,1,11,4,2,64
206,Смоленская область,Владимирская область,2019,63,0,0,7,0,1,1,2,1,0,7,0,1,1,1,0,2,0,2,0,7,0,3,0,0,23
207,Тамбовская область,Владимирская область,2019,65,1,2,5,0,2,0,1,0,0,2,0,0,0,0,0,4,1,2,1,2,0,6,1,2,25
208,Тверская область,Владимирская область,2019,99,2,2,5,0,2,1,0,0,0,7,1,2,0,1,1,6,0,3,0,8,0,5,1,0,37
209,Тульская область,Владимирская область,2019,103,1,2,2,0,0,1,0,0,0,6,0,0,1,1,0,1,0,1,0,4,0,10,4,1,40
210,Ярославская область,Владимирская область,2019,246,2,1,12,1,4,3,1,0,0,13,0,2,3,2,1,8,0,5,1,13,0,11,0,3,46
211,г.Москва,Владимирская область,2019,3525,17,7,118,6,20,21,24,5,8,94,2,8,13,10,7,54,2,30,5,61,4,51,20,12,706
212,Северо-Западный федеральный округ,Владимирская область,2019,1176,25,7,65,4,6,14,11,1,5,61,2,6,4,6,4,34,3,15,1,40,6,38,7,8,353
213,Республика Карелия,Владимирская область,2019,15,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
214,Республика Коми,Владимирская область,2019,211,1,4,18,1,2,4,5,0,1,12,0,0,0,1,1,7,0,6,0,12,1,13,1,3,109
215,Архангельская область,Владимирская область,2019,124,5,1,12,1,2,4,2,0,0,11,1,1,1,1,0,4,0,4,0,5,1,8,1,2,53
216,Hенецкий авт.округ,Владимирская область,2019,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
217,Архангельская область без Ненецкого АО,Владимирская область,2019,115,5,1,12,1,2,4,2,0,0,11,1,1,1,1,0,4,0,4,0,5,1,8,1,2,46
218,Вологодская область,Владимирская область,2019,56,2,0,2,0,0,0,0,0,1,5,0,1,1,0,0,3,1,1,0,4,0,4,2,2,20
219,Калининградская область,Владимирская область,2019,51,4,0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,21
220,Ленинградская область,Владимирская область,2019,118,5,1,7,0,0,2,2,0,0,6,0,2,0,1,0,3,1,1,0,3,0,0,0,0,16
221,Мурманская область,Владимирская область,2019,155,4,0,5,0,0,0,0,0,0,10,1,1,1,0,2,9,1,0,1,1,3,3,2,0,65
222,Новгородская область,Владимирская область,2019,27,1,0,2,0,0,0,0,0,0,4,0,0,1,1,0,2,0,2,0,2,0,0,1,0,9
223,Псковская область,Владимирская область,2019,33,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,1,1,0,0,9
224,г.Санкт-Петербург,Владимирская область,2019,386,0,1,14,1,2,2,2,1,2,7,0,1,0,1,1,4,0,1,0,10,0,7,0,1,48
225,Южный федеральный округ,Владимирская область,2019,662,16,7,39,2,4,7,8,3,1,48,4,4,5,7,3,25,1,13,0,42,7,42,4,7,226
226,Республика Адыгея,Владимирская область,2019,13,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
227,Республика Калмыкия,Владимирская область,2019,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11
228,Республика Крым,Владимирская область,2019,64,0,2,3,0,0,0,2,0,1,5,2,0,0,1,0,2,0,1,0,7,2,5,0,0,23
229,Краснодарский край,Владимирская область,2019,258,8,1,13,0,1,1,4,1,0,13,0,2,1,3,0,7,1,6,0,11,2,12,1,2,78
230,Астраханская область,Владимирская область,2019,56,1,0,3,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,5,2,3,2,1,29
231,Волгоградская область,Владимирская область,2019,84,2,2,5,0,0,3,1,0,0,9,0,1,0,1,0,5,0,3,0,5,0,13,0,3,26
232,Ростовская область,Владимирская область,2019,153,5,2,13,2,2,2,1,1,0,15,2,0,3,2,2,8,0,3,0,8,1,8,1,1,54
233,г.Севастополь,Владимирская область,2019,20,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,1,0,0,2
234,Северо-Кавказский федеральный округ,Владимирская область,2019,287,4,3,12,2,1,1,2,0,1,17,0,0,2,2,1,14,0,6,1,18,2,21,4,8,134
235,Республика Дагестан,Владимирская область,2019,91,2,1,2,1,0,1,0,0,0,5,0,0,0,1,1,4,0,3,0,7,1,8,1,4,51
236,Республика Ингушетия,Владимирская область,2019,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
237,Кабардино-Балкарская Республика,Владимирская область,2019,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4
238,Карачаево-Черкесская Республика,Владимирская область,2019,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
239,Республика Северная Осетия- Алания,Владимирская область,2019,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,2,8
240,Чеченская Республика,Владимирская область,2019,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,0,16
241,Ставропольский край,Владимирская область,2019,123,1,1,9,1,1,0,1,0,1,8,0,0,0,1,0,8,0,2,1,8,0,7,0,2,48
242,Приволжский федеральный округ,Владимирская область,2019,2274,52,9,159,15,29,29,22,4,10,149,6,25,15,19,5,104,9,39,6,110,14,93,27,63,866
243,Республика Башкортостан,Владимирская область,2019,98,2,0,7,1,1,0,2,0,0,4,0,1,0,1,0,9,0,5,0,5,1,6,0,0,41
244,Республика Марий Эл,Владимирская область,2019,40,4,1,6,0,3,0,0,0,0,5,0,1,3,0,0,1,0,1,0,6,0,5,1,1,7
245,Республика Мордовия,Владимирская область,2019,68,2,0,6,1,2,0,0,0,0,3,0,1,0,1,0,2,0,2,0,2,0,2,0,5,30
246,Республика Татарстан(Татарстан),Владимирская область,2019,74,3,0,6,0,0,1,2,0,0,7,0,1,1,0,1,5,1,2,0,1,0,6,0,0,22
247,Удмуртская Республика,Владимирская область,2019,40,1,0,2,1,0,0,0,0,0,5,0,1,0,1,0,2,0,1,0,0,0,1,0,0,20
248,Чувашская Республика(Чувашия),Владимирская область,2019,64,0,1,8,0,5,1,0,0,1,10,0,1,2,1,1,1,0,0,0,1,1,3,3,1,23
249,Пермский край,Владимирская область,2019,87,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,9,1,2,1,8,0,5,1,3,40
250,Кировская область,Владимирская область,2019,97,3,0,7,0,1,3,1,0,0,7,3,0,0,0,0,1,1,0,0,4,4,6,1,1,46
251,Hижегородская область,Владимирская область,2019,1312,22,4,86,8,12,18,12,4,7,79,3,18,5,12,1,51,5,16,3,59,3,29,13,43,485
252,Оренбургская область,Владимирская область,2019,80,3,0,7,1,3,0,2,0,0,6,0,0,0,0,0,6,1,2,0,6,2,7,3,1,32
253,Пензенская область,Владимирская область,2019,51,3,0,2,0,0,0,1,0,1,3,0,0,1,0,0,1,0,1,0,4,2,8,0,1,17
254,Самарская область,Владимирская область,2019,95,2,3,5,0,0,4,0,0,0,9,0,0,2,2,1,3,0,2,0,4,0,4,1,2,34
255,Саратовская область,Владимирская область,2019,114,5,0,7,1,0,2,1,0,0,5,0,1,1,0,1,8,0,3,1,7,1,7,3,3,50
256,Ульяновская область,Владимирская область,2019,54,2,0,6,2,1,0,1,0,1,3,0,0,0,1,0,5,0,2,1,3,0,4,1,2,19
257,Уральский федеральный округ,Владимирская область,2019,443,9,2,29,2,7,3,5,1,0,29,1,3,6,3,1,20,1,10,1,23,2,37,7,11,204
258,Курганская область,Владимирская область,2019,13,0,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0
259,Свердловская область,Владимирская область,2019,81,1,1,4,1,0,0,1,0,0,8,0,2,3,1,1,4,0,3,0,3,1,8,0,3,34
260,Тюменская область,Владимирская область,2019,276,6,1,17,1,5,1,3,1,0,16,1,1,3,1,0,13,1,4,1,11,1,18,7,3,137
261,Ханты-Мансийский автономный округ,Владимирская область,2019,81,0,0,7,1,2,0,1,0,0,6,1,0,0,1,0,3,0,1,1,2,0,4,3,2,35
262,Ямало-Hенецкий автономный округ,Владимирская область,2019,155,2,1,8,0,3,1,2,1,0,8,0,1,3,0,0,6,1,3,0,7,1,12,3,1,84
263,Тюменская область без авт. округов,Владимирская область,2019,40,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,2,1,0,18
264,Челябинская область,Владимирская область,2019,73,2,0,6,0,1,2,1,0,0,3,0,0,0,0,0,3,0,3,0,9,0,7,0,3,33
265,Сибирский федеральный округ,Владимирская область,2019,409,15,2,34,1,12,4,3,0,2,35,1,2,3,4,2,21,3,7,0,32,5,27,3,5,183
266,Республика Алтай,Владимирская область,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
267,Республика Тыва,Владимирская область,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
268,Республика Хакасия,Владимирская область,2019,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4
269,Алтайский край,Владимирская область,2019,49,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,5,4,4,0,1,21
270,Красноярский край,Владимирская область,2019,89,1,1,5,0,1,1,1,0,0,10,1,1,2,1,0,7,0,2,0,6,0,6,0,1,37
271,Иркутская область,Владимирская область,2019,68,3,0,5,0,1,0,2,0,0,8,0,0,0,1,0,2,1,0,0,4,0,2,1,1,35
272,Кемеровская область,Владимирская область,2019,45,4,1,4,1,0,1,0,0,0,6,0,0,0,1,1,2,1,1,0,4,0,3,0,1,17
273,Новосибирская область,Владимирская область,2019,49,3,0,6,0,2,0,0,0,2,3,0,0,1,0,0,1,0,1,0,4,1,4,1,0,22
274,Омская область,Владимирская область,2019,67,0,0,4,0,0,1,0,0,0,4,0,1,0,1,1,4,0,2,0,6,0,4,1,0,37
275,Томская область,Владимирская область,2019,29,0,0,10,0,8,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,3,0,0,7
276,Дальневосточный федеральный округ,Владимирская область,2019,357,7,1,27,0,4,3,5,1,0,15,1,2,3,1,0,17,1,5,1,20,1,14,4,5,160
277,Республика Бурятия,Владимирская область,2019,22,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9
278,Республика Саха (Якутия),Владимирская область,2019,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,5,0,2,0,0,17
279,Забайкальский край,Владимирская область,2019,39,3,0,6,0,1,0,3,0,0,2,0,1,1,0,0,3,0,2,1,1,0,2,1,1,15
280,Камчатский край,Владимирская область,2019,37,0,0,4,0,0,1,0,0,0,3,0,1,0,0,0,1,0,1,0,1,0,2,0,1,16
281,Приморский край,Владимирская область,2019,53,0,0,3,0,0,0,1,1,0,4,1,0,1,1,0,1,0,1,0,3,0,2,1,1,21
282,Хабаровский край,Владимирская область,2019,34,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,3,0,1,1,0,17
283,Амурская область,Владимирская область,2019,22,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,1,0,0,8
284,Магаданская область,Владимирская область,2019,48,0,0,5,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,33
285,Сахалинская область,Владимирская область,2019,34,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,15
286,Еврейская автономная область,Владимирская область,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Чукотский авт.округ,Владимирская область,2019,27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,9
288,Российская Федерация,Воронежская область,2019,53497,1457,743,5017,496,511,732,598,325,368,4665,370,654,373,318,169,1823,187,881,97,2084,454,1626,338,945,21129
289,Центральный федеральный округ,Воронежская область,2019,41442,809,581,3918,366,389,579,466,257,278,3687,274,533,290,254,140,1408,152,676,80,1684,364,1240,275,767,16317
290,Белгородская область,Воронежская область,2019,2030,70,32,254,22,27,51,25,16,16,164,19,20,21,5,9,68,8,30,1,53,14,44,9,15,1083
